Model,Display Name,Task,Framework,Vendor,Source,Link,Include
deepcraft,DEEPCRAFT (Imagimob) Ready Models,audio & sensor event detection,DEEPCRAFT / ModusToolbox ML,Infineon,Infineon DEEPCRAFT,https://www.infineon.com/deepcraft,yes
stm32-modelzoo-aed,STM32 Model Zoo - Audio Event Detection,audio classification,X-CUBE-AI / STM32Cube.AI,STMicroelectronics,STM32 model zoo,https://github.com/STMicroelectronics/stm32ai-modelzoo,yes
stm32-modelzoo-od,STM32 Model Zoo - Object Detection,object detection,X-CUBE-AI / X-LINUX-AI,STMicroelectronics,STM32 model zoo,https://github.com/STMicroelectronics/stm32ai-modelzoo,yes
mobilenet,MobileNet,image classification,TFLite / X-CUBE-AI,Google / STMicroelectronics,Keras Applications,https://keras.io/api/applications/mobilenet/,yes
nanoedge-ai,ST NanoEdge AI (NEAI),anomaly detection,NanoEdge AI Studio,STMicroelectronics,NanoEdge AI Studio,https://www.st.com/en/development-tools/nanoedgeaistudio.html,yes
yolo-world,YOLO-World,open-vocabulary object detection,OpenVINO (Intel NPU),Tencent / Ultralytics,Ultralytics,https://docs.ultralytics.com/models/yolo-world/,yes
qwen2-vl,Qwen2-VL / Qwen2.5-VL,vision-language model (VLM),OpenVINO (Intel iGPU),Alibaba,Hugging Face,https://huggingface.co/Qwen,yes
yolox,YOLOX (quantized),object detection,LiteRT + QNN HTP delegate,Megvii / Qualcomm,Qualcomm AI Hub,https://aihub.qualcomm.com,yes
cnn-occupancy,CNN Vehicle-Occupancy,object detection,TFLite,Avnet (custom),SPARK demo,,yes
eiq-genai-llm,NXP eIQ GenAI Flow (Danube-500M),on-device conversational AI / LLM,eIQ GenAI Flow (CPU / Neutron NPU),NXP,NXP eIQ GenAI Flow,https://www.nxp.com/design/design-center/software/embedded-software/eiq-genai-flow-conversational-ai-software-pipeline-on-edge-devices:GEN-AI-FLOW,yes
eiq-vision-dms,NXP eIQ Vision AI (Driver Monitoring),"face / driver monitoring (eye, head-pose, drowsiness)",eIQ Vision AI (TFLite / Vela),NXP,NXP eIQ examples,https://www.nxp.com/eiq,yes
dscnn-kws,DS-CNN Keyword Spotting,keyword spotting,TFLite (Arm ML Zoo) + PyTorch retrain,Arm / Microchip,Arm ML Zoo,https://github.com/ARM-software/ML-zoo,yes
drp-ai,Renesas DRP-AI (YOLOv3 / EdgeYOLO / UNet),object detection / pose / meter reading,DRP-AI TVM,Renesas,Renesas RZ/V AI Applications,https://www.renesas.com/rzv,yes
mediapipe-pointnet,MediaPipe Hands + PointNet,hand / ASL gesture recognition,MediaPipe + PyTorch,Google / community,MediaPipe,https://developers.google.com/mediapipe,yes
midas-depth,MiDaS (monocular depth),depth estimation,TFLite,Intel / community,MiDaS,https://github.com/isl-org/MiDaS,yes
polarfire-tinyml,PolarFire SoC TinyML NN,neural-net classification (FPGA-accelerated),SmartHLS (FPGA) + software,Microchip,PolarFire SoC ML,https://www.microchip.com/en-us/products/fpgas-and-plds,yes
eiq-tflm,NXP eIQ TensorFlow-Lite-Micro model,on-MCU classification,eIQ / TFLite-Micro,NXP,NXP eIQ (MCUXpresso),https://www.nxp.com/eiq,yes
yolov8,YOLOv8 (Ultralytics),object detection,ONNX / TFLite / Hexagon NPU,Ultralytics,Ultralytics,https://docs.ultralytics.com,yes
